ID;Description
12th Armored Division Oral History Project;Abilene, Texas, United States. The 12th Armored Division Historical Project in the Department of History at Abilene Christian University is sponsoring an ambitious oral history program for veterans of the 12th. Dr. Vernon L. Williams, Project Director, announces that the interview goal has been set at 1,500 interviews. 
1924 Filipino Strike on Kauai;Honolulu, Hawaii, United States. In 1924, principal Filipino groups (Visayan, Tagalog, and Ilocano) in Hawai‘i were divided by background, culture, and language. For Filipinos as a whole, there were the additional problems of an overwhelming proportion of single men compared to women, scant education, general lack of community roots, and low-status jobs, almost totally on plantations. 
1972 Miners Strike Study;Swansea, Wales, United Kingdom. The study was created as an off-shoot of the SSRC project during the course of the 1972 miners' strike. The team set out to record the events as they were taking place, and what exists is an unique account of the feelings of the miners themselves during the strike, and also the aftermath. 
1974 Miners Strike Study;Swansea, Wales, United Kingdom. The study was created as an off-shoot of the SSRC project during the course of the 1974 miners strike, similar to the previous study during the 1972 strike. The team set out to record the events as they were taking place, and what exists is an unique account of the feelings of the miners themselves during the strike, and also the aftermath. 
1979 Heritage Week Oral History Project;Ottawa, Ontario, Canada. Interviews recorded in 1979 with senior citizens, including recollections of business and personal life in Ottawa. English. Open. Compete transcription. 
1984-85 Miners Strike Study;Swansea, Wales, United Kingdom. The study concentrates on the 1984-85 miners strike, giving unique first-hand accounts of events during and following the strike. The study mainly concentrates on the views of the mining industry - leaders and miners - regarding the outcome of the strike. 
1998 Ice Storm Oral History Project;"Orono, Maine, United States. A series of short (10-30 minute) interviews with Maine residents about their experiences of the “Ice Storm of ‘98,” which caused statewide power failures in January, 1998. These interviews were conducted at the 1998 Maine Festival held at Thomas Point Beach in Brunswick, ME August 7, 8, and 9, 1998; and at the Common Ground Fair held at Unity, Maine, September 25, 26, & 27, 1998. "
20th Century Trade Union Woman: Vehicle for Change;Detroit, Michigan, United States. An oral history project of the Program on Women and Work, Institute of labor and Industrial Relations, The University of Michigan and Wayne State University, 1970s. 
A. James McAdams German Democratic Republic Oral History Project;Stanford, California, United States. 
A. Randolph Lushby Collection;Amherst, Nova Scotia, Canada. Interview recorded in 1983 with A. Randolph Lusby, a lawyer and then a judge, concerning law and the judicial system in the first half of the 20th century. English. Open. 
Abercraf Community Study;Swansea, Wales, United Kingdom. 
Aberfan Study - An Unknown Spring;"Swansea, Wales, United Kingdom. The study concentrates on the events and emotions following the disaster at the Pantglas Primary School, Aberfan in 1966, in which 144 people were killed, the majority being the school children of Pantglas. The study is part of a BBC documentary commemorating the twentieth anniversary of the disaster. Also included is a recording of the ""Aberfan Thank You Show"", which was a performance made by the surviving children. "
Abilene Christian University Oral History Collection;Abilene, Texas, United States. This is a collection of tapes and transcriptions of oral histories by Lawrence L. Smith and Owen Cosgrove concerning the history of ACU and of Abilene, Texas. An index to this collection can be found in the Special Collections reading area. 
Abraham A. Ribicoff Project;New York, New York, United States. In 1990 through the support of the Abe Wouk Foundation we began a series of interviews for a lengthy life history memoir with Senator Abraham A. Ribicoff of Connecticut. Senator Ribicoff began his career as a judge in Connecticut and then served as congressman and governor of that state. A close friend and confidante of John F. Kennedy, he became secretary of Health Education and Welfare when Kennedy was elected president. In 1962 he was elected to the United States Senate where he remained until 1980. During that time he established himself as one of the most important and productive members of that body, serving as chairman of the Finance Committee and the Government Operations Committee. 
Abraham D. Beame Administration Project;New York, New York, United States. A series of 38 interviews with the colleagues, family, friends, and political supporters of Mayor Abraham D. Beame, donated to the Office by Dr. Ruth B. Cowan. The interviews were conducted in 1979 in preparation of a book which was never published. One interview, that with Mayor Beame (403 p.), has been transcribed as the result of a gift to the Office by Mr. Howard Rubenstein. Partial transcripts exist for some of the other interviews. The Office holds the tapes of all but three of the memoirs. The interviews are particularly rich in the political history of Brooklyn, the James Madison Club, the Brooklyn Democratic Party from the 1940s to the 1970s, various mayoral administrations, and Mayor Beame's tenure as City Comptroller. Many of the interviews discuss the administration of Mayor Beame and its accomplishments, as well as the New York City fiscal crisis. 
Acadian Handicraft Project Series;Baton Rouge, Louisiana, United States. The Acadian Handicraft Project existed from 1942 until 1962. It grew out of an earlier effort by the General Education Board to support French language and culture in Louisiana. In 1942, Louisiana State University's General Extension Program picked up the project. Louise Olivier (d. 1962), served as the Extension Program's field representative and purchased crafts, mostly textiles, from Acadian women and marketed them throughout the state. Interviewers Pam Rabalais of LSU's School of Human Ecology and Yvonne Olivier conducted these interviews with women who participated in the project for the Southeastern Crafts Revival at the University of South Carolina's McKissick Museum. The original tapes and transcripts are housed at the McKissick. 
Across Borders Project;Birzeit, Israel-Palestine. 
Adams Center (VMI) Cold War History Project;"Lexington, Virginia, United States. The Cold War Oral History Project is an initiative of VMI's John A. Adams '71 Center for Military History and Strategic Analysis. The Adams Center's mandate is ""to promote innovation in military history and strategic studies,"" and its work focuses primarily on the Cold War. "
Addicts Who Survived Project;New York, New York, United States. Most of the interviews were conducted with long term heroin addicts, many of them enrolled in methadone programs. This collection also includes interviews with medical doctors, social workers and law enforcement officials concerned with heroin addiction. 
Adlai E. Stevenson Project;New York, New York, United States. Friends and associates describe Governor Adlai Stevenson's life and career from a number of vantage points. Personal reminiscences and anecdotes recall his wit and contribute fresh material for a study of his personality. Political associates analyze and illuminate his career, particularly as Governor of Illinois (1949-53), as Democratic nominee for the Presidency (1952 and 1956), and as Ambassador to the United Nations (1961-65). 
Adlai E. Stevenson Project;Springfield, Illinois, United States. The narrators, political associates of Adlai E. Stevenson II (1990-1965), members of his staff, his son, and others, recall Stevenson's character, achievements, term as Illinois Governor (1949-1953), presidential campaigns (1952 and 1956), his work at the United Nations, later life and death. This series was donated by the Oral History Research Office of Columbia University. 
Adlai E. Stevenson Project II;Springfield, Illinois, United States. Friends of Stevenson and his personal secretary recall his term as Illinois Governor, presidential campaigns, work as ambassador to the United Nations, and personal life. 
Administrative History of the National Park of American Samoa;Pago Pago, American Samoa. 
Adrienne Lacour Series;"Baton Rouge, Louisiana, United States. Interviews conducted by Adrienne Lacour for a graduate class in landscape architecture on land use patterns and community history in the predominately African-American community of Four Corners, located south of New Iberia, Louisiana. Topics covered include growing and processing sugar cane; South Coast Plantation and other area plantations; plantation stores and debt peonage; recreation, including gambling and baseball; impact of World War II; and religion. "
Adult Education Study;Swansea, Wales, United Kingdom. 
Afghanistan Provincial Reconstruction Teams Project;Washington, District of Columbia, United States. The experiences of Americans who served in Provincial Reconstruction Teams (PRTs) in Afghanistan provide important lessons for current and future peace and stability operations. Provincial Reconstruction Teams are small, joint, civil-military organizations whose mission is to promote good governance, improved security and reconstruction. In November 2005, there were 22 PRTs in Afghanistan: nine were directed by the U.S. and countries belonging to the NATO-led International Security Assistance Force directed 13. 
African American Artists of Los Angeles;Los Angeles, California, United States. Interviews in this series document significant African American Artists and others in the Los Angeles metropolitan area who have worked to expand exhibition opportunities and public support for African American visual culture. The series was made possible in part by support from the UCLA Center for African American Studies, Institute of American Cultures. 
African American Catholic Women;Morristown, New Jersey, United States. In February 2002, another grant was received from the New Jersey Historical Commission, in the amount of $3414. This funding will be denoted to the collection, transcription and preservation of oral history interviews with African-American Catholic women who live in two New Jersey communities with deep African-American roots - Newark and Montclair. 
African American Experiences in Durham, North Carolina;Durham, North Carolina, United States. The interviewees are African Americans who live in Durham, North Carolina. They talk about their family histories, their childhoods, their education, their careers, and their roles in their community. 
African American History Collection;Fullerton, California, United States. 
African American Life and Culture;"Chapel Hill, North Carolina, United States. James Eddie McCoy interviews regarding African Americans in Granville County, N.C. Since 1981, McCoy of Oxford, N.C., has conducted interviews with elderly black citizens from all walks of life in Granville County, N.C. Nearly all of the interviewees are more than 80 years old; some are over 100. These interviews bring to life the tobacco fields of Antioch, the cotton plantations of Oak Hill, church services at Black Cat, and the hustle and bustle of black neighborhoods like Grab-All in Oxford. They tell what daily life was like in the black orphanage at Oxford, at Mary Potter School, and in lumber camps and cotton fields. "
African American Mills Alums;Oakland, California, United States. 
African American Pioneers in Flagstaff Oral History Collection;Flagstaff, Arizona, United States. Ten interviews that chronicle the growth of Flagstaff's African-American community. Following World War II, a significant migration occurred when African-American sawmill workers from the southern states found they could earn a higher income in the southwest. In Flagstaff, they found a small logging town unaccustomed to their culture. Depending on their place of origin, some migrants perceived the city to be relatively accommodating while others did not. Most interviews include informal discussion of the timber industry, World War II, civil rights, and the Flagstaff police department. 
African American Richmond: Educational Segregation and Desegregation;Richmond, Virginia, United States. This portion of the VBHA is comprised of fourteen oral history interviews conducted in 1992 by Virginia Commonwealth University students with African-Americans residing in the Richmond, Virginia metropolitan area. While the interviews focused on the educational experiences of these individuals, other subjects and issues affecting the lives of African-Americans were also discussed by the participants. The typed transcripts of the oral histories were scanned in 1994 to be included in the Virginia Black History Archives database and are accessible from this site. A listing of the transcripts, with a brief index of topics discussed, can be found below. 
African Americans in El Paso History;El Paso, Texas, United States. A series of interviews with members of pioneer black families and others which document the experiences of African Americans before, during, and after desegregation in El Paso. The interviews examine racial and ethnic relations in our unique bi-national, multi-cultural community. 
African Americans in Southeast Idaho;Boise, Idaho, United States. 
AFSCME Oral Histories;Detroit, Michigan, United States. 
After the Day of Infamy: Man on the Street Interviews Following the Attack on Pearl Harbor, December 7, 1941;"Washington, District of Columbia, United States. After the Day of Infamy: ""Man-on-the-Street"" Interviews Following the Attack on Pearl Harbor presents approximately twelve hours of opinions recorded in the days and months following the bombing of Pearl Harbor from more than two hundred individuals in cities and towns across the United States. On December 8, 1941 (the day after the Japanese attack on Pearl Harbor), Alan Lomax, then ""assistant in charge"" of the Archive of American Folk Song (now the Archive of Folk Culture, American Folklife Center), sent a telegram to fieldworkers in ten different localities across the United States, asking them to collect ""man-on-the-street"" reactions of ordinary Americans to the bombing of Pearl Harbor and the subsequent declaration of war by the United States. A second series of interviews, called ""Dear Mr. President,"" was recorded in January and February 1942. Both collections are included in this presentation. They feature a wide diversity of opinion concerning the war and other social and political issues of the day, such as racial prejudice and labor disputes. The result is a portrait of everyday life in America as the United States entered World War II. "
Agnes Just Reid Papers;Salt Lake City, Utah, United States. The Agnes Just Reid Papers (1850-1976) contains personal and business documents of this Idaho-born writer (born 1886). Included are biographical sketches, an oral history, some of Reid's writings, and personal correspondence with her mother (Emma Thompson Bennett Just). As well, biographical sketches and additional family correspondence with her son (Douglas Reid), her father (George Thompson), and her cousin in England is also present. Letters to Caxton Publishers and others concerning the publication and copyright of Letters of Long Ago (1923, a biography of her mother) are available. 
Agricultural Equipment Collection;King City, California, United States. 
Agricultural History;College Station, Texas, United States. In 1974 the Research Historian for the Texas Agricultural Experiment Station (TAES), Irvin May, initiated a seven-year oral history project designed to enrich existing records of the station and expand knowledge of agricultural history. With the aid of the former director of TAES, R.D. Lewis, May conducted approximately 130 interviews with experts throughout the state. All interviews have been transcribed and are open. 
Agricultural History Santa Cruz County;Santa Cruz, California, United States. 
Agricultural Information Oral History;Springfield, Massachusetts, United States. 
Agriculture, Water Resources, and Land Use;Berkeley, California, United States. Interviews on California water rights issues and irrigation legislations, and cooperatives, crop development, labor, education, and economic aspects of agriculture in California. 
Air Force Academy Project;New York, New York, United States. In 1968 the faculty of the U.S. Air Force Academy initiated a series of oral history interviews with significant figures in military aviation. The major topics discussed include strategy and tactics in World War I, World War II, and Korea, the establishment of the Air Force Academy, and inter-service relationships. Two series of particular interest deal with black people in the Air Force and the introduction of women cadets to the Academy. 
Air Force Oral History Program;Maxwell Air Force Base, Alabama, United States. Oral history interviews with members of the United States Air Force. 
Alachua Portraits;Gainesville, Florida, United States. The 'Alachua Portrait (Alachua County) Oral History Collection' is one of the Florida Counties Oral History Collections. This collection a random set of Alachua Portrait interviews. These interviews encompass such subjects as the county's history, personages, growth, lifestyle, education, race, politics, among many other topics. 
Alamo Navajo Oral History Project;Albuquerque, New Mexico, United States. The Alamo Navajo Oral History Project collection consists of 23 interviews on 26 ninety minute cassettes. The interviews were conducted between 1977 and 1984 with people from the Alamo Navajo Reservation in southwestern New Mexico. The interviewees include: Louise Abeyta, Narciso Abeyta, John Anderson Pino, Denny Y. Apachito, Julian Apachito, Martiano Apachito, Billy Apachito, Hattie Apachito, Helen Apachito, Ida Apachito, Bessie Field Baca, John M. Baca. Thomas Gauadeuegro, John Guerro, Jose Guerro, Juanita Guerro, Chole Herrera, Husky Y. Monte Sr., Elise Monte, Pauline Padilla, Juan Vicente, Jake Vicente, and Altpah Vicente. There is also a tape of an Alamo revival meeting. Additionally, the collection contains background research materials such as a project description, a Master's essay on Alamo Navajo kinship systems, an ethnohistorical report on the Cañoncito and Alamo Navajo Bands, census data and correspondence. 
Alaska and Polar Regions Collections;Fairbanks, Alaska, United States. The Oral History Program was established in 1981 to collect, preserve, and provide access to audio and video recordings that provide insight into Alaska’s history and the people who have contributed to its heritage. The UAF Oral History Collection consists of over 9,000 recordings, most of which were donated by organizations and individual interviewers who collected them over the years. 
Alaska Statehood Commission. Alaska Statehood Movement Oral History Project;Anchorage, Alaska, United States. The Alaska Statehood Commission in 1981 embarked on an oral history project to record the recollections of those individuals who participated in the Statehood Movement. The investigators contacted and interviewed over 50 participants. The primary subjects were members of the Constitutional Convention, prominent individuals who promoted statehood, and participants in the government pro-statehood activities. Among these were Leo W. O'Brian, a Congressman from New York, who sponsored the statehood bill in the United States House of Representatives. 
Alaska Women's Oral History Project;Fairbanks, Alaska, United States. The Alaska Women's Oral History Project was funded through grants from the State of Alaska Department of Education, the Alaska Humanities Forum, and the Alaska Historical Commission. Additional support was provided by the Alaska Historical Society and Anchorage Community College. The purpose of the project was to collect and compile the reminiscences of pioneer Alaskan women born between 1866 and 1937. The chief interviewer for the project was Maria Brooks. 
Alaskan Pioneers Project;New York, New York, United States. This project gathers the reminiscences of pioneer settlers in Alaska, providing accounts of gold prospecting, mining, cattle driving, homesteading, and travel by trail and river. Included are descriptions of the social life of the pioneers as well as accounts of the depression of 1893 and the Klondike strike. 
Albany Civil Rights Movement Museum Oral History Project;Albany, Georgia, United States. The Museum is collecting the oral histories of people who participated in the movement locally. These histories convey the feeling of being involved in a great social movement which helped to alter the course of American history, as no scholarly or journalistic history can. These histories will be available, in excerpted form, from this Web site and will be available unabridged at the Museum. 
Albany Historical Society Oral History Collection;Albany, Western Australia, Australia, Australia. Oral history interviews related to the history of Albany and its residents. 
Albert College Collection;Belleville, Ontario, Canada. Interviews conducted between 1979 and 1992 to complete the research for the History of Albert College 1857-1992. English. Open. 
Albina Ministerial Alliance;Portland, Oregon, United States. Oral history interviews with members of the Albina Minsterial Alliance. 
Albion State Normal School;Boise, Idaho, United States. Interviews with those associated with Albion State Normal School. 
Alden W. Clausen;Washington, District of Columbia, United States. The interviews give glimpses into the complexity of the Bank's evolution beginning in 1944 at the Bretton Woods Conference, where the Articles of Agreement of the World Bank and the International Monetary Fund (IMF) were negotiated. They are conducted on an institutional level, with the goal of eliciting from the participant as full and accurate an account as possible. That is, capturing firsthand accounts of important events and experiences from those who observed and participated in them and, in some instances, supplemented with personal and anecdotal material to illustrate. The Oral History Program Interview Series has recently been re-established as an ongoing and integral function of the World Bank Group Archives. 
Alexander Henry Collection;"Kingston, Ontario, Canada. Interviews conducted in 1988. Interviews with past crew members of ice breaker Alexander Henry, now owned by the Marine Museum; interview with shipyard manager John Page, who built the vessel in 1959. Three interviews are not transcribed : with Clarence Peppiat about his career at Kingston shipyards during the 1920; with Clifford Gibson, a rivet passer at the Kingston shipyards in 1913; and with John Munn about his shipbuilding career, especially at Erieau and at Canadian Dredge and Dock in Kingston. Other topics include the Coast Guard, Port Arthur Shipyards (Thunder Bay), and the ship Kenoki. English. Open. Partial transcription (14 interviews). "
Alexander-Crawford Historical Society Oral History Collection;Orono, Maine, United States. Oral history interviews with those associated with the Alexander-Crawford Historical Society in Maine. 
Alexandra Kollontai Project;"New York, New York, United States. This series of interviews on the life and career of Alexandra Kollontai (1872-1952) was undertaken by Sonya Baevsky as part of a larger project on the Russian revolutionary and diplomat, involving also a documentary film. Some of the taped interviews are with persons who knew Mme. Kollontai; others discuss the significance of her career for Russian history, revolutionary movements, and women's history. "
Algonquin Park Museum Collection;Whitney, Ontario, Canada. Interviews conducted between 1970 and 1990 to obtain historical information pertaining to Algonquin Provincial Park. Long-time residents, visitors, staff, logging, recreation, camps, etc. Contains references to the Ontario Ministry of Natural resources. English. In some cases, permission to quote must be obtained from the interviewee. Listing of interviews, with some summaries of content. Partial transcription (ca. half). 
Alice Kelley Papers;Iowa City, Iowa, United States. The Alice Kelley papers date from 1926 to 2002 and measure 20 linear inches. The bulk of the papers consist of diaries Kelley kept from 1926 through 2001, a record of an Iowa woman from her childhood through her elderly years. The diaries include reports on the weather, social activities, appointments and both local and national events, including President Nixon’s resignation August 8, 1974 and the terrorist attacks of September 11, 2001. The papers also include the transcript of an oral history interview Kelley gave to Ilene Hammond of the History Committee of the First United Methodist Church in 2002. Kelley reminisces about her early years, attending school, living on the Iowa River, going to Girl Scouts and joining the Church. She also recounts working at both the University of Iowa and the Iowa City Press Citizen. 
Allan Nevins Project;New York, New York, United States. Associates of Allan Nevins during his long career at Columbia (1928-58) and later at the Huntington Library recall the man and the historian. Many of the interviews, contributed by Mort Lewis, a California Friend, deal largely with Nevins' last years. Included in the collection is a filmed (transferred to video) interview with Nevins conducted by Owen Bombard, on Nevins' views of Henry Ford. It was donated to the Collection by the Ford Motor Company in 1978. 536 pp. The Office also holds a collection of correspondence, reports, etc. on the establishment of the Oral History Research Office by Professor Nevins. 
Allard K. Lowenstein Project;New York, New York, United States. The interviews were conducted by Professor William Chafe of Duke University for a biography of Congressman Lowenstein. Professor Chafe, one of the leading historians of recent American history, has conducted more than eighty interviews for this work. The Allard K. Lowenstein Fund underwritten the transcribing and processing of the interviews, are part of our Collection. Aside from their detail on the life of Lowenstein, the interviews will also touch upon almost every liberal or radical movement of the post-World War II period. The interviews in this project are open with a few exceptions. 
Alternate Service in World War II Oral History Project;Waterloo, Ontario, Canada. In 1974 and 1975 the Institute of Anabaptist-Mennonite Studies at Conrad Grebel College sponsored an oral history project to interview Mennonite men who has served in Alternative Service Camps during World War II. David Fransen, a graduate student studying at the College, carried out the interviews in 1974 and 1975. 
Alternative Farming Systems Information Center Oral History Interview Series;Beltsville, Maryland, United States. Oral histories are in-depth, face-to-face interviews. Staff of the Alternative Farming Systems Information Center are conducting videotaped oral history interviews with people who have provided leadership and inspiration in the field of alternative or sustainable agriculture. Our goal is to record the recollections of people who have influenced the direction of American agriculture, both for current use and as an historical record. To date, eleven interviews have been concluded. 
