name;text;start;end;;
Lichtenstein;I want to begin this year’s conversation with a discussion of the contemporary politics of collecting and display. Like many institutions today—the university, the curriculum, indeed this very journal—the “museum” faces pressure to decolonize its cultural practices and national ;0;161;;
Redman;These are critical questions for museums today. As a historian interested in the history of museums and a former museum professional, I have seen these matters play out in several different contexts. Museum history, as the question suggests, is intimately bound up with ;162;1033;;
Ho;The question “What would a ‘decolonized’ museum look like?” was present at the birth of China’s first native museum in 1905. In the nineteenth century, the only museums in China were institutions located in the foreign concessions of Shanghai, and early museum boosters were ;1034;2216;;
Conklin;In our answers so far. to the question “What would a ‘decolonized’ museum look like?,” a wide variety of institutions have been evoked: history museums, art museums, natural history museums, and ethnographic museums, and there are surely others. If we add different national ;2217;2915;;
Conn;I think we need to start with some definitions and some categories, a few caveats and qualifications. The Institute of Museum and Library Services counted more than 35,000 “active” museums in the United States.10 And that was in 2014. Those museums range across all kinds of ;2916;3704;;
Lichtenstein;Let me follow up by building on Steven Conn’s contrarian response to my first question. As he implies, first and foremost, museums display objects to the public, and academic discussions of display ignore this “public” at our peril. What makes the Museum of African American History and ;3705;3910;;
Ho;The issues of the object versus. the narrative, the making of the narrative (and for whom), and the curatorial tension between historical content and contemporary audience are critical considerations, both for museums and for those of us who study them. Before I address this second prompt, however, ;3911;4846;;
Kirshenblatt-Gimblett;Many thanks, Denise, for this post. I’d like to respond to a few points. First, objects and their display as a defining feature of museums. ICOM, the International Council of Museums, issued a call in December 2018 for a revised definition of museums to better reflect their current reality.14 No doubt ;4847;5931;;
Redman;What kinds of stories should museums tell? There is, of course, no single answer to this important question. but museums should explore what it means, and what it has meant historically, to be human. They should also help us understand our planet, the environment we should be better stewards for, ;5932;6860;;
Conn;The creation of narrative is among the things that distinguished the modern museum from the cabinets of curiosities and Wunderkammern that preceded them. Modern museums imposed order and system on collections—and in turn, they collected based on those systems—and they did so in order ;6861;7649;;
Conklin;In addressing the questions posed by Alex Lichtenstein in round two of our discussions. a basic difference has emerged between current museum practices in an authoritarian closed society such as China, and those in democratic and open ones (principally the U.S.). The dividing line has been the ;7650;9274;;
Araujo;There is no single answer to Alex’s question because there are too many kinds of museums. in so many different places, created to fulfill too many different purposes. As put by Steven Conn, the birth of the modern museum implies the existence of a collection or several collections of objects, artifacts, ;9275;9998;;
Kirshenblatt-Gimblett;Museums come in many forms, and they are more than their permanent or core exhibition and temporary exhibitions, though our discussion so far seems to conflate the two: museum and exhibition. One of the most contentious aspects of museums is their collections, whether formed in ;9999;11179;;
